Date,Net Sales,Orders,Guests
11/13/2023,0,0,0,
11/14/2023,406.95,15,15,
11/15/2023,654.06,19,19,
11/16/2023,265.81,10,10,
11/17/2023,867.96,22,22,
11/18/2023,653.61,23,23,
11/19/2023,828.84,20,20,
11/20/2023,0,0,0,
11/21/2023,506.59,15,15,
11/22/2023,461.67,12,12,
11/23/2023,0,0,0,
11/24/2023,744.98,24,24,
11/25/2023,1265.66,41,41,
11/26/2023,695.44,23,23,
11/27/2023,0,0,0,
11/28/2023,126.88,5,5,
11/29/2023,370.71,14,14,
11/30/2023,663.64,16,16,
12/01/2023,699.42,24,24,
12/02/2023,909.44,23,23,
12/03/2023,467.25,17,17,
12/04/2023,0,0,0,
12/05/2023,328.74,14,14,
12/06/2023,546.21,17,17,
12/07/2023,544.19,17,17,
12/08/2023,764.58,23,23,
12/09/2023,886.84,26,26,
12/10/2023,659.07,22,22,
12/11/2023,0,0,0,
12/12/2023,364.26,12,12,
12/13/2023,598.06,19,19,
12/14/2023,283.76,9,9,
12/15/2023,768.05,22,22,
12/16/2023,789.52,24,24,
12/17/2023,608.54,16,16,
12/18/2023,0,0,0,
12/19/2023,248.81,9,9,
12/20/2023,609.61,20,20,
12/21/2023,438.73,16,16,
12/22/2023,876.45,22,22,
12/23/2023,1218.74,30,30,
12/24/2023,1517.66,38,38,
12/25/2023,1528.61,44,44,
12/26/2023,966.38,25,25,
12/27/2023,672.58,17,17,
12/28/2023,878.42,24,24,
12/29/2023,1284.22,32,32,
12/30/2023,1417.59,43,43,
12/31/2023,1136.31,31,31,
