Date,Net Sales,Orders,Guests
11/13/2024,420.3,10,10,
11/14/2024,193.83,5,5,
11/15/2024,819.86,27,27,
11/16/2024,583.52,16,16,
11/17/2024,461.71,16,16,
11/18/2024,49.96,2,2,
11/19/2024,296.24,10,10,
11/20/2024,310.78,9,9,
11/21/2024,514.67,9,9,
11/22/2024,689.46,19,19,
11/23/2024,760.41,22,22,
11/24/2024,705.44,25,25,
11/25/2024,0,0,0,
11/26/2024,432.28,14,14,
11/27/2024,453.28,11,11,
11/28/2024,0,0,0,
11/29/2024,651.6,18,18,
11/30/2024,1263.28,29,29,
12/01/2024,875.31,22,22,
12/02/2024,0,0,0,
12/03/2024,273.27,11,11,
12/04/2024,366.75,13,13,
12/05/2024,404.24,13,13,
12/06/2024,416.67,15,15,
12/07/2024,1111.83,28,28,
12/08/2024,564.57,17,17,
12/09/2024,0,0,0,
12/10/2024,158.92,7,7,
12/11/2024,287.27,9,9,
12/12/2024,546.28,13,13,
12/13/2024,1524.69,29,29,
12/14/2024,733.5,23,23,
12/15/2024,839.39,28,28,
12/16/2024,0,0,0,
12/17/2024,132.88,5,5,
12/18/2024,232.81,7,7,
12/19/2024,520.66,18,18,
12/20/2024,876.52,25,25,
12/21/2024,471.66,16,16,
12/22/2024,1163.75,28,28,
12/23/2024,0,0,0,
12/24/2024,1154.32,34,34,
12/25/2024,1501.6,40,40,
12/26/2024,338.22,10,10,
12/27/2024,769.41,20,20,
12/28/2024,759.91,23,23,
12/29/2024,961.75,16,16,
12/30/2024,0,0,0,
12/31/2024,623.86,16,16,
