Sales Category,Item Name,Modifier,,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
No Sales Category,Veggie Pizza,Green Peppers,,,1,0.99,0,0.99,
No Sales Category,Veggie Pizza,No onions please. Thanks.,,,1,0,0,0,
No Sales Category,Veggie Pizza,Onion,,,5,4.95,0,4.95,
No Sales Category,Veggie Pizza,Order Note: Doordash Marketplace,,,4,0,0,0,
No Sales Category,Veggie Pizza,Black olives on the side| please! It’s for my baby :),,,1,0,0,0,
No Sales Category,Veggie Pizza,1/2 cheese pizza,,,1,0,0,0,
No Sales Category,Veggie Pizza,Chicken Chunks,,,4,11.96,0,11.96,
No Sales Category,Veggie Pizza,Sauteed Ghee Mushrooms,,,10,19.9,0,19.9,
No Sales Category,Veggie Pizza,Order Note: please add jalapeno on half (double it on half),,,1,0,0,0,
No Sales Category,Veggie Pizza,extra sauce,,,1,0,0,0,
No Sales Category,Veggie Pizza,Order Note: No onions please.,,,1,0,0,0,
No Sales Category,Veggie Pizza,Hot Honey,,,1,0.99,0,0.99,
No Sales Category,Veggie Pizza,Order Note: Really well done. Thank you.,,,1,0,0,0,
No Sales Category,Veggie Pizza,Cilantro,,,1,0.99,0,0.99,
No Sales Category,Veggie Pizza,NO GREEN PEPPERS.,,,1,0,0,0,
No Sales Category,Veggie Pizza,*No Parmesan please
**Mushrooms on HALF only please
***Please double cut,,,1,0,0,0,
No Sales Category,Veggie Pizza,Order Note: No black olives on pizza,,,1,0,0,0,
No Sales Category,Alfredo Chicken,,,20.49705128205128,105,2138.58,0,2138.58,
No Sales Category,Alfredo Chicken,16" XLARGE,,,32,692.68,0,692.68,
No Sales Category,Alfredo Chicken,14" LARGE,,,73,1379.27,0,1379.27,
No Sales Category,Alfredo Chicken,Order Note: you guys are great!!! thank u so much for everything!!,,,1,0,0,0,
No Sales Category,Alfredo Chicken,Jalapeno,,,4,3.96,0,3.96,
No Sales Category,Alfredo Chicken,Black Olives,,,1,1.99,0,1.99,
No Sales Category,Alfredo Chicken,Order Note: Doordash Marketplace,,,3,0,0,0,
No Sales Category,Alfredo Chicken,Green Peppers,,,4,3.96,0,3.96,
No Sales Category,Alfredo Chicken,Pepperoni,,,2,5.98,0,5.98,
No Sales Category,Alfredo Chicken,Extra Cheese,,,1,1.99,0,1.99,
No Sales Category,Alfredo Chicken,Hot Honey,,,1,0.99,0,0.99,
No Sales Category,Alfredo Chicken,Italian Sausage,,,2,5.98,0,5.98,
No Sales Category,Alfredo Chicken,Please add a generous amount of Garlic. Thank you. i love you.,,,1,0,0,0,
No Sales Category,Alfredo Chicken,Sauteed Ghee Mushrooms,,,10,19.9,0,19.9,
No Sales Category,Alfredo Chicken,Onion,,,7,6.93,0,6.93,
No Sales Category,Alfredo Chicken,Turkey Bacon,,,3,8.97,0,8.97,
No Sales Category,Alfredo Chicken,Order Note: Need plenty of cheese and red pepper,,,1,0,0,0,
No Sales Category,Alfredo Chicken,Chicken Chunks,,,2,5.98,0,5.98,
No Sales Category,Alfredo Chicken,Order Note: Dogs will bark| sorry.,,,1,0,0,0,
No Sales Category,Naga Habanero Paneer,,,22.004279661016948,77,1697.83,0,1697.83,
No Sales Category,Naga Habanero Paneer,14" LARGE,,,50,1011.5,0,1011.5,
No Sales Category,Naga Habanero Paneer,gluten free pizza?,,,1,0,0,0,
No Sales Category,Naga Habanero Paneer,cilantro on the side or no cilantro,,,1,0,0,0,
No Sales Category,Naga Habanero Paneer,Order Note: I need them to be ready at 6.30pm. Please get them ready at that time. Thank you!,,,1,0,0,0,
No Sales Category,Naga Habanero Paneer,I would like to pick up at 1pm. Please time my order accordingly if you can so it stays hot.,,,1,0,0,0,
No Sales Category,Naga Habanero Paneer,Jhura Beef,,,2,5.98,0,5.98,
No Sales Category,Naga Habanero Paneer,Medium,,,34,0,0,0,
No Sales Category,Naga Habanero Paneer,Green Peppers,,,6,5.94,0,5.94,
No Sales Category,Naga Habanero Paneer,Order Note: Doordash Marketplace,,,4,0,0,0,
No Sales Category,Naga Habanero Paneer,Order Note: Clean CUT Requested and kindly,,,1,0,0,0,
No Sales Category,Naga Habanero Paneer,Don’t put cilantro please
Divide by 12 (12 slices ),,,1,0,0,0,
No Sales Category,Naga Habanero Paneer,Pepperoni,,,2,5.98,0,5.98,
No Sales Category,Naga Habanero Paneer,Spicy,,,26,0,0,0,
No Sales Category,Naga Habanero Paneer,Mild,,,17,0,0,0,
No Sales Category,Naga Habanero Paneer,Order Note: Pizza well done/ crispy,,,1,0,0,0,
No Sales Category,Naga Habanero Paneer,Onion,,,10,9.9,0,9.9,
No Sales Category,Naga Habanero Paneer,Cilantro,,,5,4.95,0,4.95,
No Sales Category,Naga Habanero Paneer,Italian Sausage,,,1,2.99,0,2.99,
No Sales Category,Naga Habanero Paneer,Make it spicy,,,1,0,0,0,
No Sales Category,Naga Habanero Paneer,Sauteed Ghee Mushrooms,,,6,11.94,0,11.94,
No Sales Category,Naga Habanero Paneer,16" XLARGE,,,27,628.73,0,628.73,
No Sales Category,Naga Habanero Paneer,Jalapeno,,,5,4.95,0,4.95,
No Sales Category,Naga Habanero Paneer,Hot Honey,,,2,2.98,0,2.98,
No Sales Category,Naga Habanero Paneer,Please Request CLEAN CUT.,,,1,0,0,0,
No Sales Category,Naga Habanero Paneer,Black Olives,,,1,1.99,0,1.99,
No Sales Category,Naga Habanero Paneer,Cilantro on side please,,,1,0,0,0,
No Sales Category,Soda (Can),,,2.731866666666667,105,287.13,0,287.13,
No Sales Category,Soda (Can),Order Note: Doordash Marketplace,,,32,0,0,0,
No Sales Category,Soda (Can),Diet Coke,,,29,0,0,0,
No Sales Category,Soda (Can),Coke,,,54,0,0,0,
No Sales Category,Soda (Can),Sprite,,,18,0,0,0,
No Sales Category,Soda (Can),Jumex Mango,,,6,0,0,0,
No Sales Category,Soda (Can),Brisk Sweet Tea,,,4,0,0,0,
No Sales Category,Garlic Ghee Mushroom,,,19.15795116772824,202,3846.72,0,3846.72,
No Sales Category,Garlic Ghee Mushroom,Chicken Chunks,,,21,62.79,0,62.79,
No Sales Category,Garlic Ghee Mushroom,16" XLARGE,,,41,857.12,0,857.12,
No Sales Category,Garlic Ghee Mushroom,Pepperoni,,,7,20.93,0,20.93,
No Sales Category,Garlic Ghee Mushroom,Jhura Beef,,,9,26.91,0,26.91,
No Sales Category,Garlic Ghee Mushroom,Light sauce,,,1,0,0,0,
No Sales Category,Garlic Ghee Mushroom,Cilantro,,,2,1.98,0,1.98,
No Sales Category,Garlic Ghee Mushroom,Onion,,,13,12.87,0,12.87,
No Sales Category,Garlic Ghee Mushroom,14" LARGE,,,161,2815.39,0,2815.39,
No Sales Category,Garlic Ghee Mushroom,Black Olives,,,3,3.97,0,3.97,
No Sales Category,Garlic Ghee Mushroom,Jalapeno,,,5,4.95,0,4.95,
No Sales Category,Garlic Ghee Mushroom,Order Note: The sodas are 2 sprites and a diet coke,,,1,0,0,0,
No Sales Category,Garlic Ghee Mushroom,Order Note: Doordash Marketplace,,,18,0,0,0,
No Sales Category,Garlic Ghee Mushroom,Italian Sausage,,,9,26.91,0,26.91,
No Sales Category,Garlic Ghee Mushroom,Hot Honey,,,5,4.95,0,4.95,
No Sales Category,Garlic Ghee Mushroom,Sauteed Ghee Mushrooms,,,3,5.97,0,5.97,
No Sales Category,Garlic Ghee Mushroom,Order Note: See notes,,,1,0,0,0,
No Sales Category,Garlic Ghee Mushroom,Green Peppers,,,2,1.98,0,1.98,
No Sales Category,Naga Habanero Pasta,,,11.43344827586207,32,364.53,0,364.53,
No Sales Category,Naga Habanero Pasta,Spicy,,,8,0,0,0,
No Sales Category,Naga Habanero Pasta,Chicken,,,9,26.91,0,26.91,
No Sales Category,Naga Habanero Pasta,Italian Sausage,,,6,17.94,0,17.94,
No Sales Category,Naga Habanero Pasta,Order Note: Doordash Marketplace,,,3,0,0,0,
No Sales Category,Naga Habanero Pasta,No cilantro| no pork. If sausage is pork please substitute with chicken.,,,1,0,0,0,
No Sales Category,Naga Habanero Pasta,Medium,,,21,0,0,0,
No Sales Category,Naga Habanero Pasta,Mild,,,3,0,0,0,
